,movie,rating,quote,polarity,subjectivity
34,The Matrix,8.7,"[""Agent Smith: I hate this place. This zoo. This prison. This reality, whatever you want to call it, I can't stand it any longer. It's the smell, if there is such a thing. I feel saturated by it. I can taste your stink and every time I do, I fear that I've somehow been infected by it. It's -- it's repulsive! Isn't it? I must get out of here. I must get free... and in this mind is the key, my key. Once Zion is destroyed, there is no need for me to be here. Do you understand? I need the codes, I have to get inside Zion and you have to tell me how. You're going to tell me, or you're going to die!""]",-0.08,0.8400000000000001
35,The Matrix,8.7,"['Neo: I know kung fu.', 'Morpheus: [eyeing him, hand on chin] Show me.']",-0.75,1.0
36,The Matrix,8.7,"[""Cypher: I know what you're thinking, 'cause right now I'm thinking the same thing. Actually, I've been thinking it ever since I got here: Why oh why didn't I take the BLUE pill?""]",0.07142857142857142,0.2151785714285714
37,The Matrix,8.7,"['Trinity: Please Neo, you have to trust me.', 'Neo: Why?', ""Trinity: Because you have been down there Neo, you know that road, you know exactly where it ends. And I know that's not where you want to be.""]",0.04722222222222221,0.2694444444444445
38,The Matrix,8.7,"[""Tank: We're supposed to start with these operation programs first. That's major boring shit. Let's do something a little more fun. How about... combat training."", ""Neo: Ju jitsu? I'm gonna learn Ju jitsu."", '[Tank winks and loads the program]  Neo: Holy shit!', 'Tank: Hey Mikey, I think he likes it. How about some more?', 'Neo: Hell, yes. Hell yeah.']",-0.002777777777777768,0.5703703703703704
39,The Matrix,8.7,"['[Neo sees a black cat walk by them, and then a similar black cat walk by them just like the first one]  Neo: Whoa. Déjà vu.', '[Everyone freezes right in their tracks]  Trinity: What did you just say?', 'Neo: Nothing. Just had a little déjà vu.', 'Trinity: What did you see?', 'Cypher: What happened?', 'Neo: A black cat went past us, and then another that looked just like it.', 'Trinity: How much like it? Was it the same cat?', ""Neo: It might have been. I'm not sure."", 'Morpheus: Switch! Apoc!', 'Neo: What is it?', 'Trinity: A déjà vu is usually a glitch in the Matrix. It happens when they change something.']",-0.07020089285714286,0.39857804232804234
40,The Matrix,8.7,"['Tank: Here you go, buddy; ""Breakfast of Champions.""', ""Mouse: If you close your eyes, it almost feels like you're eating runny eggs."", 'Apoc: Yeah, or a bowl of snot.', 'Mouse: Do you know what it really reminds me of? Tasty Wheat. Did you ever eat Tasty Wheat?', 'Switch: No, but technically, neither did you.', ""Mouse: That's exactly my point. Exactly. Because you have to wonder: how do the machines know what Tasty Wheat tasted like? Maybe they got it wrong. Maybe what I think Tasty Wheat tasted like actually tasted like oatmeal, or tuna fish. That makes you wonder about a lot of things. You take chicken, for example: maybe they couldn't figure out what to make chicken taste like, which is why chicken tastes like everything."", 'Apoc: Shut up, Mouse.']",-0.17777777777777778,0.5166666666666667
41,The Matrix,8.7,"[""Morpheus: The pill you took is part of a trace program. It's designed to disrupt your input/output carrier signal so we can pinpoint your location."", 'Neo: What does that mean?', ""Cypher: It means fasten your seat belt Dorothy, 'cause Kansas is going bye-bye.""]",-0.3125,0.6875
42,The Matrix,8.7,"['Oracle: OK, now I\'m supposed to say, ""Hmm, that\'s interesting, but... "" then you say...', 'Neo: ...""but what?""', ""Oracle: But... you already know what I'm going to tell you."", ""Neo: I'm not The One."", ""Oracle: Sorry, kid. You got the gift, but it looks like you're waiting for something."", 'Neo: What?', ""Oracle: Your next life, maybe. Who knows? That's the way these things go.""]",0.125,0.5
43,The Matrix,8.7,"[""Morpheus: [to Neo who is choosing the red pill] Remember... all I'm offering is the truth. Nothing more.""]",-0.08333333333333333,0.5
45,The Matrix,8.7,"[""Morpheus: We've survived by hiding from them, by running from them. But they are the gatekeepers. They are guarding all the doors, they are holding all the keys. Which means that sooner or later, someone is going to have to fight them."", 'Neo: Someone?', ""Morpheus: I've seen an agent punch through a concrete wall; men have emptied entire clips at them and hit nothing but air; yet, their strength, and their speed, are still based in a world that is built on rules. Because of that, they will never be as strong, or as fast, as *you* can be.""]",0.15666666666666665,0.45166666666666666
46,The Matrix,8.7,"['[Neo walks through a metal detector in the lobby and is approached by a security guard after it goes off]  Security guard: Could you please remove any metallic items you may be carrying, keys, loose change...', '[Neo opens his trench coat to reveal dozens of guns underneath]  Security guard: Holy shit!', '[Neo knocks the guard down and shoots the other guards]']",-0.15186965811965814,0.43327991452991454
47,The Matrix,8.7,"[""Lieutenant: I think we can handle one little girl. I sent two units, they're bringing her down now."", 'Agent Smith: No lieutenant, your men are already dead.']",-0.18101851851851855,0.39629629629629637
48,The Matrix,8.7,"['Morpheus: Free your mind.', '[Morpheus jumps from one building to another a long distance away]  Neo: Whoa.']",0.17500000000000002,0.6000000000000001
49,The Matrix,8.7,"[""Morpheus: I can see it in your eyes. You have the look of a man who accepts what he sees because he's expecting to wake up. Ironically, this is not far from the truth. Do you believe in fate, Neo?"", 'Neo: No.', 'Morpheus: Why not?', ""Neo: 'Cause I don't like the idea that I'm not in control of my life."", ""Morpheus: know exactly what you mean. Let me tell you why you're here. You're here because you know something. What you know, you can't explain. But you feel it. You felt it your entire life. That there's something wrong with the world. You don't know what it is, but it's there. Like a splinter in your mind - driving you mad. It is this feeling that has brought you to me. Do you know what I'm talking about?""]",-0.20625000000000002,0.74375
51,The Matrix,8.7,"[""Agent Smith: [Seeing the slide of Neo's gun is locked back on an empty magazine] You're empty."", ""Neo: [Seeing Smith's gun is also empty] So are you.""]",-0.3,0.5833333333333334
52,The Matrix,8.7,"['Tank: Door on your left.', '[Neo goes right]  Tank: Your other left.']",0.040178571428571425,0.22767857142857142
53,The Matrix,8.7,"['Tank: Neo, this has to be done.', ""Neo: Does it? I don't know. This can't be just coincidence. It can't be."", 'Tank: What are you talking about?', 'Neo: The Oracle. She told me this would happen. She told me that I would have to make a choice.', 'Trinity: What choice?', '[Neo walks away]  Trinity: What are you doing?', ""Neo: I'm going in."", ""Trinity: No, you're not."", 'Neo: I have to.', ""Trinity: Neo, Morpheus sacrificed himself so we could get you out. There is no way you're going back in."", ""Neo: Morpheus did what he did because he believes something I'm not."", 'Trinity: What?', ""Neo: I'm not the one, Trinity. The Oracle hit me with that too."", 'Trinity: No, you have to be.', ""Neo: I'm sorry, I'm not. I'm just another guy."", ""Trinity: No, Neo, that's not true. It can't be true."", 'Neo: Why?', ""[no response, Neo walks away again]  Tank: Neo, this is loco. They've got Morpheus in a military-controlled building. Even if you somehow got inside, those are agents holding him. Three of them. I want Morpheus back too but what you're talking about is suicide."", ""Neo: I know that's what it looks like, but it's not. I can't explain to you why it's not. Morpheus believes in something and he was ready to give his life, I understand that now. That's why I have to go."", 'Tank: Why?', 'Neo: Because I believe in something.', 'Trinity: What?', 'Neo: I believe I can bring him back.']",-0.017857142857142867,0.39999999999999997
54,The Matrix,8.7,"[""Cypher: You know... for a long time, I thought I was in love with you. I used to dream about you. You're a beautiful woman, Trinity. Too bad things had to turn out this way."", 'Trinity: You killed them.', 'Apoc: What?', 'Switch: Oh God.', ""Cypher: I'm tired, Trinity. I'm tired of this world. I'm tired of fighting, tired of this ship, being cold and eating the same goddamn groop every day. But most of all, I'm tired of that jag-off and all of his bullshit."", ""Cypher: [to Morpheus] Surprise, asshole! I bet you never saw this coming, did you? God, I wish I could be there when they break you. I wish I could walk in just when it happens. So that right then, you'd know it was me."", 'Trinity: You gave them Morpheus.', ""Cypher: He lied to us, Trinity. He tricked us! If you had told us the truth, we'd have told you to shove that red pill right up your ass!"", ""Trinity: That's not true, Cypher, he set us free."", 'Cypher: [looking up inside the Nebuchadnezzar] Free. You call *this* free? All I do is what he tells me to do. If I have to choose between that and the Matrix. I choose the Matrix!']",-0.0703733766233766,0.6324134199134201
55,The Matrix,8.7,"['Neo: What is happening to me?', 'Morpheus: You are the One, Neo. You see, you may have spent the last few years looking for me, but I have spent my entire life looking for you.']",-0.08,0.19833333333333333
56,The Matrix,8.7,"['Rhineheart: You have a problem with authority, Mr. Anderson. You believe you are special, that somehow the rules do not apply to you. Obviously, you are mistaken.']",0.17857142857142858,0.5357142857142857
60,The Matrix,8.7,"['Neo: What are you doing?', ""Trinity: I'm going with you."", ""Neo: No you're not."", ""Trinity: No? Let me tell you what I believe. I believe that Morpheus means more to me than he does to you. I believe if you are really serious about rescuing him, you are going to need my help. And since I am the ranking officer on this ship, if you don't like it... I believe you can go to hell. Because you're not going anywhere else. Tank, load us up.""]",0.08333333333333334,0.5833333333333333
61,The Matrix,8.7,"['Morpheus: What is ""real""? How do you define ""real""?']",0.2,0.30000000000000004
62,The Matrix,8.7,"['Agent Smith: The great Morpheus. We meet at last.', 'Morpheus: And you are?', 'Agent Smith: A Smith. Agent Smith.', 'Morpheus: You all look the same to me.']",0.26666666666666666,0.3138888888888889
63,The Matrix,8.7,"['Morpheus: To your left there is a window: open it... use the scaffold to get to the roof.', 'Neo: No way. No way. This is crazy.', 'Morpheus: There are two ways out of that building: one is that scaffold, the other is in their custody. You take a chance either way: I leave it to you.']",-0.18125,0.44375
64,The Matrix,8.7,"[""Neo: You ever have that feeling where you're not sure if you're awake or still dreaming?"", ""Choi: All the time. It's called mescaline, it's the only way to fly.""]",0.18333333333333335,0.9296296296296296
65,The Matrix,8.7,"[""[Neo receives a cell phone in an overnight-mail envelope. As soon as he's holding it, it rings]  Neo: Hello?"", 'Morpheus: Hello, Neo. Do you know who this is?', 'Neo: Morpheus?', ""Morpheus: Yes. I've been looking for you, Neo. I don't know if you're ready to see what I want to show you, but unfortunately, you and I have run out of time. They're coming for you, Neo, and I don't know what they're going to do."", ""Neo: Who's coming for me?"", 'Morpheus: Stand up and see for yourself.', 'Neo: What, right now?', 'Morpheus: Yes, now.']",-0.004761904761904763,0.6785714285714285
66,The Matrix,8.7,"[""Cypher: [coughs after sampling an alcoholic drink] Good shit, huh? Dozer makes it. It's good for two things, degreasing engines and killing brain cells.""]",0.039999999999999994,0.7000000000000001
67,The Matrix,8.7,['Morpheus: Welcome to the real world.'],0.5,0.6000000000000001
69,The Matrix,8.7,"[""Choi: Hallelujah. You're my savior, man. My own personal Jesus Christ."", 'Neo: If you get caught using that...', ""Choi: I know. This never happened. You don't exist."", 'Neo: Right.']",0.29523809523809524,0.611904761904762
71,The Matrix,8.7,"['Agent Smith: Lieutenant, you were given specific orders.', 'Lieutenant: I\'m just doing my job. You give me that ""juris-my-dick-tion"" crap... you can cram it up your ass.']",-0.4,0.4625
72,The Matrix,8.7,"['[first lines]  [phone rings]  Cypher: Yeah.', 'Trinity: Is everything in place?', ""Cypher: You weren't supposed to relieve me."", 'Trinity: I know, but I felt like taking a shift.', ""Cypher: You like him, don't you? You like watching him."", ""Trinity: Don't be ridiculous."", ""Cypher: We're gonna kill him. You understand that?"", 'Trinity: Morpheus believes he is the one.', 'Cypher: Do you?', ""Trinity: It doesn't matter what I believe."", ""Cypher: You don't, do you?"", 'Trinity: Did you hear that?', 'Cypher: Hear what?', 'Trinity: Are you sure this line is clean?', ""Cypher: Yeah, of course I'm sure."", 'Trinity: I better go.']",0.2972222222222222,0.7185185185185187
73,The Matrix,8.7,"[""[on the war that devastated the Real World]  Morpheus: We don't know who struck first, us or them. But we do know it was us that scorched the sky. At the time, they were dependent on solar power. It was believed they would be unable to survive without an energy source as abundant as the sun.""]",0.1375,0.5208333333333333
74,The Matrix,8.7,['Neo: I used to eat there. Really good noodles.'],0.7,0.6000000000000001
75,The Matrix,8.7,"[""Cypher: All I do is what he tells me to do. If I had to choose between that and the Matrix, I'd choose the Matrix."", ""Trinity: _The Matrix_ (qv) isn't real."", 'Cypher: I disagree, Trinity. I think that the Matrix can be more real than this world. All I do is pull a plug here, but there... you have to watch Apoc die.']",0.3,0.3666666666666667
76,The Matrix,8.7,"[""Agent Smith: [Opening a thick folder] As you can see, we've had our eye on you for some time now, Mr. Anderson.""]",-0.525,0.7375
78,The Matrix,8.7,"['Cypher: Look into his eyes. Those big pretty eyes and tell me... Yes or no?', '[looks at Neo, tears slightly visible in her eyes]  Trinity: Yes.', ""Cypher: No! I don't believe it!"", ""Tank: Believe it or not, you piece of shit, you're still gonna burn!""]",-0.06510416666666666,0.5166666666666667
79,The Matrix,8.7,"['Neo: Okey dokey... free my mind. Right, no problem, free my mind, free my mind, no problem, right...']",0.35428571428571426,0.6942857142857143
80,The Matrix,8.7,"[""Morpheus: We've done it, Trinity. We've found him."", ""Trinity: I hope you're right."", ""Morpheus: You don't have to hope. I *know* it.""]",0.2857142857142857,0.5357142857142857
81,The Matrix,8.7,"['Neo: Am I dead?', 'Morpheus: Far from it.']",-0.05,0.7
82,The Matrix,8.7,"[""Cypher: I'm tired, Trinity. Tired of this war, tired of fighting... I'm tired of the ship, being cold, eating the same goddamn goop everyday...""]",-0.3428571428571429,0.6464285714285714
84,The Matrix,8.7,"['Agent Brown: She got out.', ""Agent Smith: Doesn't matter."", 'Agent Brown: The informant is real.', 'Agent Smith: Yes.', 'Agent Jones: We have the name of their next target.', 'Agent Brown: The name is Neo.', ""Agent Smith: We'll need a search running."", 'Agent Jones: It has already begun.']",0.1,0.15000000000000002
86,The Matrix,8.7,['Agent Brown: Perhaps we are asking the wrong questions.'],-0.5,0.9
87,The Matrix,8.7,"[""[Neo tries a drink made by Dozer and winces]  Cypher: Good shit, huh? It's good for two things: degreasing engines and killing brain cells.""]",0.27499999999999997,0.6000000000000001
88,The Matrix,8.7,"['[Agent Smith has shot Neo with several bullets]  Agent Smith: Check him.', ""[Agent Brown feels Neo's pulse]  Agent Brown: He's gone."", 'Agent Smith: Good bye, Mr Anderson.']",0.35,0.30000000000000004
90,The Matrix,8.7,"[""[Cypher has betrayed the crew and is pulling their plugs one by one]  Cypher: By the way, if you have something terribly important to say to Switch, I'd suggest you say it now."", ""Trinity: Oh no, please don't..."", 'Switch: Not like this. Not like this.', '[Cypher pulls her plug, and her in-Matrix body falls dead]  Cypher: Too late.', 'Trinity: God damn you Cypher!', ""Cypher: Don't hate me Trinity... I'm just the messenger.""]",-0.24375000000000002,0.725
91,The Matrix,8.7,"['[Neo runs down the alleyway and gets trapped]  Neo: Help!, need a little help!', 'Tank: The door.']",-0.21331018518518519,0.262962962962963
93,The Matrix,8.7,"[""[talking to the unconscious Morpheus]  Cypher: If you'd told us the truth, we would've told you to shove that red pill right up your ass.""]",0.14285714285714285,0.26785714285714285
94,The Matrix,8.7,['Switch: The digital pimp hard at work.'],-0.14583333333333334,0.2708333333333333
95,The Matrix,8.7,"[""Cypher: [Is about to try to unplug Neo] If Morpheus was right, then there's no way I can pull this plug. I mean if Neo is the One, then there would have to be some kind of miracle to stop me. Right? I mean how can he be the One if he's dead?""]",-0.05765306122448981,0.678061224489796
96,The Matrix,8.7,"[""Cypher: No. I don't believe it."", ""Tank: Believe it or not, you piece of shit, you're still gonna burn.""]",-0.2,0.8
97,The Matrix,8.7,"[""Agent Smith: I'm going to enjoy watching you die, Mr. Anderson.""]",0.4,0.5
98,The Matrix,8.7,['Agent Smith: Find them and destroy them'],-0.2,0.0
102,The Matrix,8.7,"[""Neo: I can't go back, can I?"", 'Morpheus: No. But if you could, would you really want to?']",0.1,0.1
103,The Matrix,8.7,"['[after landing the Nebuchaunezzer to hide from the Sentinels]  Morpheus: How we doing Tank?', '[Tank types on the keyboard and the main power goes off]  Tank: Main power offline. EMP armed...', '[Tank opens the cover to the EMP switch]  Tank: and ready.', 'Neo: EMP?', 'Trinity: Electro-Magnetic Pulse, disables any electrical system within the blast radius, only weapon we have against the machines.', 'Morpheus: Quiet.']",0.10666666666666666,0.5
104,The Matrix,8.7,"[""Cypher: The image translators work for the construct program - but there's way too much information to decode the Matrix.""]",0.2,0.2
106,The Matrix,8.7,"[""[after the truth of the Matrix has been revealed to Neo, he lies in his bunk with Morpheus in the room with him]  Neo: I can't go back, can I?"", ""Morpheus: No. But if you could, would you really want to? I feel I owe you an apology. We have a rule: we never free a mind once it's reached a certain age. It's dangerous, the mind has trouble letting go. I've seen it before and I'm sorry. I did what I did because... I had to. When the Matrix was first built, there was a man born inside who had the ability to change whatever he wanted, to remake the Matrix as he saw fit. It was he who freed the first of us, taught us the truth. As long as the Matrix exists the human race will never be free. After he died, the Oracle prophesized his return and that his coming would hail the destruction of the Matrix, end the war, bring freedom to our people. That is why there are those of us who have spent our entire lives searching the Matrix looking for him. I did what I did because I believe that search is over."", ""[beat]  Morpheus: Get some rest. You're going to need it."", 'Neo: For what?', 'Morpheus: Your training.']",0.004285714285714295,0.4508730158730158
107,The Matrix,8.7,"['Tank: What does it mean?', ""Switch: It doesn't mean anything.""]",-0.3125,0.6875
109,The Matrix,8.7,"[""Agent Smith: Never send a human to do a machine's job."", ""Agent Brown: If, indeed, the insider has failed, they'll sever the connection as soon as possible. Unless..."", ""Agent Jones: ...they're dead. In either case..."", 'Agent Smith: ...we have no choice but to continue as planned. Deploy the sentinels. Immediately.']",-0.175,0.44999999999999996
110,The Matrix,8.7,"[""Mouse: [to Neo] So I understand that, uh, you've run through the Agent Training program. You know, I, um... I wrote that program."", 'Apoc: Here it comes...', 'Mouse: So, what did you think of her?', 'Neo: Of who?', ""Mouse: The woman in the red dress. I designed her. She, um... Well, she doesn't talk very much, but-but if you'd like to meet her, I can arrange for a much more personalized milieu."", 'Switch: The digital pimp hard at work.', 'Mouse: [annoyed at Switch] Pay no attention to these hypocrites, Neo. To deny our own impulses is to deny the very thing that makes us human.']",-0.05742424242424242,0.5001515151515151
112,The Matrix,8.7,"[""[Neo has just been revived after escaping from the machines]  Neo: Morpheus, what's happened to me? What is this place?"", ""Morpheus: More important than 'Where?' is 'When?'"", 'Neo: When?', ""Morpheus: You believe it's the year 1999 when in fact it's closer to 2199. I can't tell you exactly what year it is because we honestly don't know. There's nothing I can say that will explain it for you, Neo.""]",0.4375,0.6625
113,The Matrix,8.7,"[""Morpheus: [explaining 'agents'] Sentient programs. They can move in and out of any software still hardwired to their system.""]",-0.75,1.0
114,The Matrix,8.7,"[""Morpheus: Remember, all I'm offering is the truth. Nothing more.""]",0.5,0.5
